Generation;Population TF;Population PR;Fitness;Std;Avg;Min;Best Fitness;Std;Best Individual TF;Best Individual PR
0;[[34, 32, 24, 21], [14, 34, 32, 24, 21], [34, 32, 24, 21], [34, 32, 24, 21], [34, 32, 24, 21]];[[[0,33, 0,85, 0,83, 0,67], [0,84, 0,13, 0,17, 0,35], [0,5, 0,15, 0,03, 0,07]], [[0,26, 0,33, 0,85, 0,83, 0,67], [0,47, 0,84, 0,13, 0,17, 0,35], [0,77, 0,5, 0,15, 0,03, 0,07]], [[0,66, 0,85, 0,83, 0,67], [0,84, 0,13, 0,17, 0,35], [0,5, 0,15, 0,03, 0,07]], [[0,33, 0,85, 0,83, 0,67], [0,84, 0,13, 0,81, 0,35], [0,5, 0,15, 0,03, 0,07]], [[0,33, 0,85, 0,83, 0,67], [0,84, 0,13, 0,17, 0,35], [0,5, 0,84, 0,03, 0,07]]];[78,58678018 78,9679333  79,57232107 80,19345337 77,92505341];[1,64584536 1,48677196 1,93769146 0,82864661 2,24849492];79,04910826403527;77,9250534059028;80,1934533736862;0,828646610945908;[34 32 24 21];"[[0,33 0,85 0,83 0,67]  [0,84 0,13 0,81 0,35]  [0,5  0,15 0,03 0,07]]"
1;[[34, 32, 24, 21], [34, 32, 10, 24, 21], [34, 32, 24, 21], [34, 32, 24, 21], [34, 32, 24, 21]];[[[0,33, 0,85, 0,83, 0,67], [0,84, 0,13, 0,81, 0,35], [0,5, 0,15, 0,03, 0,07]], [[0,33, 0,85, 0,51, 0,83, 0,67], [0,84, 0,13, 0,31, 0,81, 0,35], [0,5, 0,15, 0,54, 0,03, 0,07]], [[0,33, 0,85, 0,83, 0,67], [0,84, 0,13, 0,81, 0,35], [0,69, 0,15, 0,03, 0,07]], [[0,33, 0,85, 0,83, 0,67], [0,84, 0,13, 0,61, 0,35], [0,5, 0,15, 0,03, 0,07]], [[0,33, 0,85, 0,83, 0,67], [0,84, 0,13, 0,02, 0,35], [0,5, 0,15, 0,03, 0,07]]];[79,4624171  77,33897177 78,44830118 79,94661916 79,34081921];[1,4558809  1,37176544 2,56456803 1,0459895  0,67103817];78,90742568363119;77,3389717747482;79,94661915898675;1,0459894965070073;[34 32 24 21];"[[0,33 0,85 0,83 0,67]  [0,84 0,13 0,61 0,35]  [0,5  0,15 0,03 0,07]]"
2;[[34, 32, 24, 21], [34, 32, 24, 21], [34, 32, 24, 21], [34, 32, 24, 29, 21], [34, 32, 24, 21]];[[[0,33, 0,85, 0,83, 0,67], [0,84, 0,13, 0,61, 0,35], [0,5, 0,15, 0,03, 0,07]], [[0,33, 0,85, 0,83, 0,67], [0,84, 0,13, 0,61, 0,35], [0,5, 0,15, 0,03, 0,13]], [[0,33, 0,85, 0,83, 0,67], [0,84, 0,43, 0,61, 0,35], [0,5, 0,15, 0,03, 0,07]], [[0,33, 0,85, 0,83, 0,77, 0,67], [0,84, 0,13, 0,61, 0,55, 0,35], [0,5, 0,15, 0,03, 0,6, 0,07]], [[0,33, 0,85, 0,83, 0,95], [0,84, 0,13, 0,61, 0,35], [0,5, 0,15, 0,03, 0,07]]];[79,43595245 80,00175806 80,06425972 77,53480759 78,74238163];[2,20206778 0,49507949 1,10141827 2,03709272 1,77340079];79,15583189112677;77,53480759343059;80,06425971934631;1,1014182738351164;[34 32 24 21];"[[0,33 0,85 0,83 0,67]  [0,84 0,43 0,61 0,35]  [0,5  0,15 0,03 0,07]]"
3;[[34, 32, 24, 21], [34, 32, 24, 21], [34, 32, 24, 21], [34, 32, 24, 21], [34, 9, 32, 24, 21]];[[[0,33, 0,85, 0,83, 0,67], [0,84, 0,43, 0,61, 0,35], [0,5, 0,15, 0,03, 0,07]], [[0,33, 0,85, 0,83, 0,67], [0,84, 0,43, 0,61, 0,64], [0,5, 0,15, 0,03, 0,07]], [[0,33, 0,85, 0,83, 0,67], [0,84, 0,43, 0,61, 0,06], [0,5, 0,15, 0,03, 0,07]], [[0,33, 0,85, 0,83, 0,67], [0,21, 0,43, 0,61, 0,35], [0,5, 0,15, 0,03, 0,07]], [[0,33, 0,02, 0,85, 0,83, 0,67], [0,84, 0,75, 0,43, 0,61, 0,35], [0,5, 0,64, 0,15, 0,03, 0,07]]];[79,5581507  79,01823952 79,40949736 80,17797193 79,69093953];[0,57326031 1,52048986 1,54394836 1,32449822 1,46172443];79,57095980867753;79,01823952215462;80,17797192955445;1,3244982218825359;[34 32 24 21];"[[0,33 0,85 0,83 0,67]  [0,21 0,43 0,61 0,35]  [0,5  0,15 0,03 0,07]]"
4;[[34, 32, 24, 21], [37, 32, 24, 21], [34, 32, 24, 21], [34, 32, 35, 24, 21], [34, 32, 24, 21]];[[[0,33, 0,85, 0,83, 0,67], [0,21, 0,43, 0,61, 0,35], [0,5, 0,15, 0,03, 0,07]], [[0,33, 0,85, 0,83, 0,67], [0,21, 0,43, 0,61, 0,35], [0,5, 0,15, 0,03, 0,07]], [[0,33, 0,85, 0,83, 0,67], [0,21, 0,43, 0,61, 0,35], [0,5, 0,15, 0,03, 0,78]], [[0,33, 0,85, 0,6, 0,83, 0,67], [0,21, 0,43, 1,0, 0,61, 0,35], [0,5, 0,15, 0,86, 0,03, 0,07]], [[0,33, 0,85, 0,83, 0,67], [0,21, 0,43, 0,61, 0,35], [0,5, 0,15, 0,03, 0,46]]];[78,71529776 79,86144919 79,2544576  78,63067668 79,87311744];[3,34429297 0,70932234 1,31968025 1,39620682 1,64755357];79,26699973677613;78,63067668455311;79,87311744046075;1,64755356959982;[34 32 24 21];"[[0,33 0,85 0,83 0,67]  [0,21 0,43 0,61 0,35]  [0,5  0,15 0,03 0,46]]"
5;[[34, 32, 24, 21], [34, 32, 24, 21], [34, 31, 24, 21], [34, 32, 24, 4, 21], [34, 32, 24, 21]];[[[0,33, 0,85, 0,83, 0,67], [0,21, 0,43, 0,61, 0,35], [0,5, 0,15, 0,03, 0,46]], [[0,33, 0,85, 0,83, 0,67], [0,21, 0,43, 0,59, 0,35], [0,5, 0,15, 0,03, 0,46]], [[0,33, 0,85, 0,83, 0,67], [0,21, 0,43, 0,61, 0,35], [0,5, 0,15, 0,03, 0,46]], [[0,33, 0,85, 0,83, 0,36, 0,67], [0,21, 0,43, 0,61, 0,27, 0,35], [0,5, 0,15, 0,03, 0,07, 0,46]], [[0,19, 0,85, 0,83, 0,67], [0,21, 0,43, 0,61, 0,35], [0,5, 0,15, 0,03, 0,46]]];[80,40927893 78,78698025 78,42057433 80,00391588 79,44872208];[1,5061501  1,43838054 3,00348029 0,72845326 2,14431655];79,41389429427363;78,42057432563901;80,40927893177063;1,5061500975284308;[34 32 24 21];"[[0,33 0,85 0,83 0,67]  [0,21 0,43 0,61 0,35]  [0,5  0,15 0,03 0,46]]"
6;[[34, 32, 24, 21], [34, 32, 30, 21], [34, 32, 24, 21], [34, 32, 24, 21], [34, 32, 24, 21]];[[[0,33, 0,85, 0,83, 0,67], [0,21, 0,43, 0,61, 0,35], [0,5, 0,15, 0,03, 0,46]], [[0,33, 0,85, 0,83, 0,67], [0,21, 0,43, 0,61, 0,35], [0,5, 0,15, 0,03, 0,46]], [[0,67, 0,85, 0,83, 0,67], [0,21, 0,43, 0,61, 0,35], [0,5, 0,15, 0,03, 0,46]], [[0,33, 0,85, 0,83, 0,67], [0,62, 0,43, 0,61, 0,35], [0,5, 0,15, 0,03, 0,46]], [[0,33, 0,85, 0,83, 0,67], [0,21, 0,24, 0,61, 0,35], [0,5, 0,15, 0,03, 0,46]]];[78,4216936  77,98684264 79,51057553 79,92358459 80,00916361];[2,24664999 1,84241937 1,61481268 1,02093035 0,39972454];79,17037199167972;77,98684264272636;80,00916360564811;0,3997245380947821;[34 32 24 21];"[[0,33 0,85 0,83 0,67]  [0,21 0,24 0,61 0,35]  [0,5  0,15 0,03 0,46]]"
7;[[34, 32, 24, 21], [34, 32, 24], [34, 32, 34, 24, 21], [34, 32, 24, 21], [34, 32, 1, 21]];[[[0,33, 0,85, 0,83, 0,67], [0,21, 0,24, 0,61, 0,35], [0,5, 0,15, 0,03, 0,46]], [[0,33, 0,85, 0,83], [0,21, 0,24, 0,61], [0,5, 0,15, 0,03]], [[0,33, 0,85, 0,47, 0,83, 0,67], [0,21, 0,24, 0,84, 0,61, 0,35], [0,5, 0,15, 0,25, 0,03, 0,46]], [[0,33, 0,85, 0,83, 0,67], [0,21, 0,24, 0,61, 0,35], [0,5, 0,85, 0,03, 0,46]], [[0,33, 0,85, 0,83, 0,67], [0,21, 0,24, 0,61, 0,35], [0,5, 0,15, 0,03, 0,46]]];[79,28144399 78,58275961 79,48048393 79,57228305 78,81489293];[1,1753505  0,94493329 0,93098275 1,79357159 0,46657948];79,14637270195645;78,58275961323022;79,57228304639678;1,7935715861832617;[34 32 24 21];"[[0,33 0,85 0,83 0,67]  [0,21 0,24 0,61 0,35]  [0,5  0,85 0,03 0,46]]"
8;[[34, 32, 24, 21], [34, 24, 21], [34, 32, 24, 21], [34, 5, 24, 21], [34, 32, 24, 21]];[[[0,33, 0,85, 0,83, 0,67], [0,21, 0,24, 0,61, 0,35], [0,5, 0,85, 0,03, 0,46]], [[0,33, 0,83, 0,67], [0,21, 0,61, 0,35], [0,5, 0,03, 0,46]], [[0,33, 0,85, 0,77, 0,67], [0,21, 0,24, 0,61, 0,35], [0,5, 0,85, 0,03, 0,46]], [[0,33, 0,85, 0,83, 0,67], [0,21, 0,24, 0,61, 0,35], [0,5, 0,85, 0,03, 0,46]], [[0,43, 0,85, 0,83, 0,67], [0,21, 0,24, 0,61, 0,35], [0,5, 0,85, 0,03, 0,46]]];[78,51382515 79,96994267 78,17383381 78,20896442 79,46551343];[1,91635328 0,7776221  2,57365336 1,59450902 1,80026831];78,8664158981622;78,1738338109416;79,96994267256224;0,7776220974050478;[34 24 21];"[[0,33 0,83 0,67]  [0,21 0,61 0,35]  [0,5  0,03 0,46]]"
9;[[34, 24, 21], [34, 24, 29], [34, 24, 21], [34, 22, 21], [3, 34, 24, 21]];[[[0,33, 0,83, 0,67], [0,21, 0,61, 0,35], [0,5, 0,03, 0,46]], [[0,33, 0,83, 0,67], [0,21, 0,61, 0,35], [0,5, 0,03, 0,46]], [[0,33, 0,83, 0,67], [0,21, 0,61, 0,21], [0,5, 0,03, 0,46]], [[0,33, 0,83, 0,67], [0,21, 0,61, 0,35], [0,5, 0,03, 0,46]], [[0,55, 0,33, 0,83, 0,67], [0,36, 0,21, 0,61, 0,35], [0,75, 0,5, 0,03, 0,46]]];[80,47162204 78,4381533  79,74695364 80,25552464 78,49140978];[1,48058198 0,47482273 1,0805998  1,90969766 2,341475  ];79,48073267945422;78,43815330002776;80,47162203605079;1,480581975366355;[34 24 21];"[[0,33 0,83 0,67]  [0,21 0,61 0,35]  [0,5  0,03 0,46]]"
